0,17.18,1004.090027,0.013176,1.011624,0.035136,0.013176,1.011624,0.035136,0,0,0,0,0,0
25000,17.24,1003.200012,0.020984,1.006256,0.03904,0.020984,1.006256,0.03904,0,0,0,0,0,0
50000,17.16,1002.809998,0.02684,1.008696,0.044896,0.02684,1.008696,0.044896,0,0,0,0,0,0
75000,17.110001,1002.289978,0.033184,1.00528,0.049288,0.033184,1.00528,0.049288,0,0,0,0,0,0
100000,17.16,1003.640015,0.02684,1.007232,0.041968,0.02684,1.007232,0.041968,0,0,0,0,0,0
125000,17.190001,1003.090027,0.020008,1.005768,0.030744,0.020008,1.005768,0.030744,0,0,0,0,0,0
150000,17.190001,1002.679993,0.016104,1.013088,0.026352,0.016104,1.013088,0.026352,0,0,0,0,0,0
175000,17.059999,1003.210022,0.013176,1.009672,0.027816,0.013176,1.009672,0.027816,0,0,0,0,0,0
200000,17.1,1002.869995,0.013176,1.008696,0.0366,0.013176,1.008696,0.0366,0,0,0,0,0,0
225000,17.16,1002.809998,0.017568,1.010648,0.04636,0.017568,1.010648,0.04636,0,0,0,0,0,0
250000,17.110001,1003.530029,0.022936,1.01016,0.04636,0.022936,1.01016,0.04636,0,0,0,0,0,0
275000,17.129999,1002.73999,0.026352,1.011136,0.045872,0.026352,1.011136,0.045872,0,0,0,0,0,0
300000,17.16,1003.640015,0.027328,1.009672,0.037088,0.027328,1.009672,0.037088,0,0,0,0,0,0
325000,17.209999,1002.309998,0.020008,1.008696,0.034648,0.020008,1.008696,0.034648,0,0,0,0,0,0
350000,17.190001,1003.090027,0.020496,1.00772,0.029768,0.020496,1.00772,0.029768,0,0,0,0,0,0
375000,17.16,1002.809998,0.021472,1.009184,0.034648,0.021472,1.009184,0.034648,0,0,0,0,0,0
400000,17.16,1002.609985,0.023424,1.008696,0.040504,0.023424,1.008696,0.040504,0,0,0,0,0,0
425000,17.209999,1002.51001,0.025376,1.006744,0.03904,0.025376,1.006744,0.03904,0,0,0,0,0,0
450000,17.129999,1003.150024,0.019032,1.005768,0.039528,0.019032,1.005768,0.039528,0,0,0,0,0,0
475000,17.18,1003.880005,0.019032,1.002352,0.037576,0.019032,1.002352,0.037576,0,0,0,0,0,0
500000,17.129999,1003.150024,0.023912,1.01016,0.03904,0.023912,1.01016,0.03904,0,0,0,0,0,0
525000,17.27,1003.070007,0.027816,1.008696,0.037576,0.027816,1.008696,0.037576,0,0,0,0,0,0
550000,17.16,1002.809998,0.020008,1.009672,0.038552,0.020008,1.009672,0.038552,0,0,0,0,0,0
575000,17.190001,1003.299988,0.014152,1.012112,0.035624,0.014152,1.012112,0.035624,0,0,0,0,0,0
600000,17.110001,1002.289978,0.016104,1.00772,0.030744,0.016104,1.00772,0.030744,0,0,0,0,0,0
625000,17.219999,1003.580017,0.020496,1.008696,0.034648,0.020496,1.008696,0.034648,0,0,0,0,0,0
650000,17.209999,1002.309998,0.027328,1.008696,0.04148,0.027328,1.008696,0.04148,0,0,0,0,0,0
675000,17.139999,1002.369995,0.018056,1.008696,0.043432,0.018056,1.008696,0.043432,0,0,0,0,0,0
700000,17.190001,1003.51001,0.018056,1.009672,0.044896,0.018056,1.009672,0.044896,0,0,0,0,0,0
725000,17.18,1003.669983,0.014152,1.013088,0.047336,0.014152,1.013088,0.047336,0,0,0,0,0,0
750000,17.110001,1002.289978,0.013176,1.011136,0.038552,0.013176,1.011136,0.038552,0,0,0,0,0,0
775000,17.129999,1002.530029,0.020008,1.006256,0.033672,0.020008,1.006256,0.033672,0,0,0,0,0,0
800000,17.110001,1002.909973,0.027328,1.007232,0.02928,0.027328,1.007232,0.02928,0,0,0,0,0,0
825000,17.110001,1002.700012,0.026352,1.006744,0.03172,0.026352,1.006744,0.03172,0,0,0,0,0,0
850000,17.139999,1002.780029,0.031232,1.009672,0.036112,0.031232,1.009672,0.036112,0,0,0,0,0,0
875000,17.18,1002.849976,0.018544,1.007232,0.03904,0.018544,1.007232,0.03904,0,0,0,0,0,0
900000,17.16,1001.98999,0.016592,1.011624,0.040504,0.016592,1.011624,0.040504,0,0,0,0,0,0
925000,17.129999,1003.150024,0.015128,1.008696,0.034648,0.015128,1.008696,0.034648,0,0,0,0,0,0
950000,17.16,1003.22998,0.016104,1.008696,0.034648,0.016104,1.008696,0.034648,0,0,0,0,0,0
975000,17.24,1002.789978,0.022448,1.006256,0.03904,0.022448,1.006256,0.03904,0,0,0,0,0,0
1000000,17.219999,1003.369995,0.027816,1.010648,0.042944,0.027816,1.010648,0.042944,0,0,0,0,0,0
1025000,17.18,1003.669983,0.027816,1.009672,0.045384,0.027816,1.009672,0.045384,0,0,0,0,0,0
1050000,17.16,1003.429993,0.022936,1.00284,0.04392,0.022936,1.00284,0.04392,0,0,0,0,0,0
1075000,17.139999,1003.190002,0.01708,1.009672,0.03172,0.01708,1.009672,0.03172,0,0,0,0,0,0
1100000,17.18,1002.650024,0.002928,1.007232,0.03416,0.002928,1.007232,0.03416,0,0,0,0,0,0
1125000,17.139999,1003.390015,0.009272,1.00772,0.033184,0.009272,1.00772,0.033184,0,0,0,0,0,0
1150000,17.219999,1003.580017,0.020496,1.009672,0.042944,0.020496,1.009672,0.042944,0,0,0,0,0,0
1175000,17.190001,1002.47998,0.023912,1.008696,0.050752,0.023912,1.008696,0.050752,0,0,0,0,0,0
1200000,17.209999,1002.309998,0.033672,1.01016,0.045384,0.033672,1.01016,0.045384,0,0,0,0,0,0
1225000,17.209999,1002.719971,0.025376,1.004304,0.045872,0.025376,1.004304,0.045872,0,0,0,0,0,0
