timestamp,year,month,day,hour,min,sec,valid_flags,num_sats,lon,lat,height,height_msl,accuracy_horiz,accuracy_vertical,vel_north,vel_east,vel_down,ground_speed,hdg,accuracy_speed,accuracy_hdg
4004538853,2024,2,11,17,25,35,3,0,0,0,0,-17,4294967.5,3849062.25,0,0,0,0,0,402.605,18000
4004637862,2024,2,11,17,25,35,3,0,0,0,0,-17,4294967.5,3849070,0,0,0,0,0,402.609,18000
4004745301,2024,2,11,17,25,35,3,0,0,0,0,-17,4294967.5,3849078.25,0,0,0,0,0,402.614,18000
4004865237,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849086.25,0,0,0,0,0,402.619,18000
4004928368,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849094,0,0,0,0,0,402.625,18000
4005038169,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849102.25,0,0,0,0,0,402.630,18000
4005141352,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849110.25,0,0,0,0,0,402.635,18000
4005242439,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849118.25,0,0,0,0,0,402.640,18000
4005330931,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849126.25,0,0,0,0,0,402.644,18000
4005435196,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849134.25,0,0,0,0,0,402.649,18000
4005532118,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849142.25,0,0,0,0,0,402.654,18000
4005633206,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849150.25,0,0,0,0,0,402.660,18000
4005735400,2024,2,11,17,25,36,3,0,0,0,0,-17,4294967.5,3849158.25,0,0,0,0,0,402.665,18000
4005858540,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849166.25,0,0,0,0,0,402.669,18000
4005917596,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849174.25,0,0,0,0,0,402.674,18000
4006016613,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849182.25,0,0,0,0,0,402.678,18000
4006120911,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849190.25,0,0,0,0,0,402.683,18000
4006214637,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849198.25,0,0,0,0,0,402.688,18000
4006313640,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849206.25,0,0,0,0,0,402.694,18000
4006412648,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849214.25,0,0,0,0,0,402.699,18000
4006516610,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849222.25,0,0,0,0,0,402.704,18000
4006610349,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849230.25,0,0,0,0,0,402.709,18000
4006714636,2024,2,11,17,25,37,3,0,0,0,0,-17,4294967.5,3849238.25,0,0,0,0,0,402.713,18000
4006848292,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849246.25,0,0,0,0,0,402.718,18000
4006907382,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849254.25,0,0,0,0,0,402.723,18000
4007011661,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849262.25,0,0,0,0,0,402.729,18000
4007110677,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849270.25,0,0,0,0,0,402.734,18000
4007209692,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849278.5,0,0,0,0,0,402.739,18000
4007313980,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849286.5,0,0,0,0,0,402.743,18000
4007412990,2024,2,11,17,25,38,3,0,0,0,0,-17,4294967.5,3849294.25,0,0,0,0,0,402.748,18000
