6920436,2025,2,22,21,4,38,287,5,-87.50985,40.390648,192.141998,225.507996,2.543,6.363,0.2,-0.212,-0.204,0.291,318.674194,1.94,2712.000977
7120436,2025,2,22,21,4,38,287,5,-87.50985,40.390648,192.25,225.615997,2.542,6.361,0.227,-0.126,-0.491,0.26,318.674194,2.061,2712.428955
7319436,2025,2,22,21,4,39,287,5,-87.50985,40.390648,192.313004,225.679001,2.542,6.363,-0.338,0.027,-0.385,0.339,318.674194,1.168,2713.104004
7519436,2025,2,22,21,4,39,287,5,-87.50985,40.390648,192.042007,225.408997,2.542,6.356,0.409,-1.047,-1.018,1.124,304.360687,2.127,2591.178955
7719436,2025,2,22,21,4,39,287,5,-87.50985,40.390648,191.897995,225.264008,2.542,6.352,0.544,-1.087,-1.359,1.215,299.74707,2.165,2144.590088
7919436,2025,2,22,21,4,39,287,5,-87.50985,40.390648,191.572006,224.938004,2.541,6.346,-0.111,0.01,0.17,0.111,299.74707,1.827,2145.594971
8119436,2025,2,22,21,4,39,287,5,-87.50985,40.390648,191.492004,224.858002,2.54,6.343,-0.217,0.191,-0.052,0.289,299.74707,0.96,2145.846924
8320436,2025,2,22,21,4,40,287,5,-87.50985,40.390648,191.339005,224.705002,2.536,6.336,0.145,-0.515,-0.254,0.535,299.74707,1.814,2146.533936
8519436,2025,2,22,21,4,40,287,5,-87.509857,40.390648,191.115005,224.481003,2.533,6.331,0.165,-0.843,-0.744,0.859,291.654968,2.075,3514.510986
8719436,2025,2,22,21,4,40,287,5,-87.509857,40.390648,191.018997,224.384995,2.533,6.328,0.036,-0.079,0.08,0.087,291.654968,0.727,3514.626953
8919436,2025,2,22,21,4,40,287,5,-87.509857,40.390648,191.121994,224.488007,2.534,6.328,-0.106,-0.246,0.093,0.268,291.654968,0.591,3515.064941
9119436,2025,2,22,21,4,40,287,5,-87.509857,40.390648,191.113007,224.479004,2.533,6.326,-0.188,-0.008,-0.317,0.188,291.654968,1.405,3515.290039
9319436,2025,2,22,21,4,41,287,5,-87.509857,40.390644,190.791,224.156998,2.534,6.326,-0.001,-0.283,0.059,0.283,291.654968,0.945,3515.779053
9519436,2025,2,22,21,4,41,287,5,-87.509857,40.390644,190.436005,223.802002,2.535,6.326,0.167,-0.303,-0.212,0.346,291.654968,2.006,3516.26001
9719436,2025,2,22,21,4,41,287,5,-87.509857,40.390644,190.376007,223.742004,2.535,6.326,-0.072,-0.131,-0.081,0.149,291.654968,1.482,3516.49707
9919436,2025,2,22,21,4,41,287,5,-87.509857,40.390644,190.238998,223.604996,2.532,6.322,0.063,-0.194,0.148,0.204,291.654968,0.688,3516.726074
10119436,2025,2,22,21,4,41,287,5,-87.509857,40.390644,190.115005,223.481003,2.531,6.319,-0.018,-0.111,-0.079,0.113,291.654968,1.798,3517.012939
10319436,2025,2,22,21,4,42,287,5,-87.509865,40.390644,189.912994,223.279007,2.528,6.313,0.28,-0.723,-0.625,0.775,291.377747,2.049,3186.753906
10519436,2025,2,22,21,4,42,287,5,-87.509865,40.390644,189.667007,223.033005,2.529,6.322,0.132,-0.428,-0.061,0.448,290.899902,1.537,3784.493896
10719436,2025,2,22,21,4,42,287,5,-87.509865,40.390644,189.479004,222.845001,2.531,6.336,0.142,-0.277,0.042,0.312,290.899902,1.155,3784.665039
10919436,2025,2,22,21,4,42,287,5,-87.509865,40.390644,189.255005,222.621002,2.531,6.336,-0.092,0.264,0.79,0.279,290.899902,2.118,3785.089111
11119436,2025,2,22,21,4,42,287,5,-87.509865,40.390644,189.242996,222.608994,2.531,6.334,-0.118,0.383,0.988,0.401,290.899902,2.137,3785.406982
11319436,2025,2,22,21,4,43,287,5,-87.509865,40.390644,189.322006,222.688004,2.53,6.329,-0.194,-0.067,0.336,0.205,290.899902,1.612,3785.934082
