3202,14.85,990.859985,-0.070312,0.058594,-0.990234,NAN,NAN,NAN,NAN,NAN,NAN,0.801,-0.5505,0.807
13202,14.87,991.090027,-0.076172,0.068359,-0.966797,NAN,NAN,NAN,NAN,NAN,NAN,0.804,-0.5385,0.8055
23202,14.85,991.059998,-0.060547,0.048828,-0.992188,NAN,NAN,NAN,NAN,NAN,NAN,0.801,-0.543,0.798
33202,14.85,991.059998,-0.076172,0.064453,-0.978516,NAN,NAN,NAN,NAN,NAN,NAN,0.804,-0.5505,0.804
43202,14.88,990.549988,-0.060547,0.050781,-0.990234,NAN,NAN,NAN,NAN,NAN,NAN,0.7905,-0.546,0.807
53202,14.83,991.409973,-0.054688,0.044922,-0.986328,NAN,NAN,NAN,NAN,NAN,NAN,0.798,-0.5445,0.8025
63202,14.87,991.289978,-0.0625,0.056641,-0.990234,NAN,NAN,NAN,NAN,NAN,NAN,0.81,-0.546,0.8025
73202,14.85,991.440002,-0.076172,0.070312,-1,NAN,NAN,NAN,NAN,NAN,NAN,0.801,-0.5445,0.807
83202,14.87,990.900024,-0.078125,0.074219,-0.986328,NAN,NAN,NAN,NAN,NAN,NAN,0.795,-0.5385,0.801
93202,14.87,991.289978,-0.083984,0.0625,-0.986328,NAN,NAN,NAN,NAN,NAN,NAN,0.795,-0.5505,0.801
103202,14.85,990.859985,-0.078125,0.058594,-0.970703,NAN,NAN,NAN,NAN,NAN,NAN,0.798,-0.54,0.798
113202,14.88,991.320007,-0.074219,0.056641,-0.966797,NAN,NAN,NAN,NAN,NAN,NAN,0.7995,-0.5385,0.801
123202,14.88,990.940002,-0.072266,0.048828,-0.96875,NAN,NAN,NAN,NAN,NAN,NAN,0.804,-0.546,0.8055
133203,14.83,991.02002,-0.087891,0.0625,-0.974609,NAN,NAN,NAN,NAN,NAN,NAN,0.792,-0.549,0.792
143203,14.87,991.090027,-0.083984,0.076172,-0.976562,NAN,NAN,NAN,NAN,NAN,NAN,0.8025,-0.5445,0.801
153202,14.87,991.47998,-0.080078,0.054688,-0.986328,NAN,NAN,NAN,NAN,NAN,NAN,0.804,-0.5445,0.807
163202,14.87,991.47998,-0.085938,0.072266,-0.994141,NAN,NAN,NAN,NAN,NAN,NAN,0.7965,-0.5415,0.801
173202,14.85,991.059998,-0.083984,0.060547,-1,NAN,NAN,NAN,NAN,NAN,NAN,0.8085,-0.5385,0.8085
183202,14.83,991.210022,-0.095703,0.068359,-0.982422,NAN,NAN,NAN,NAN,NAN,NAN,0.798,-0.549,0.8055
193202,14.83,991.409973,-0.091797,0.064453,-0.990234,NAN,NAN,NAN,NAN,NAN,NAN,0.801,-0.54,0.807
203202,14.87,991.090027,-0.078125,0.054688,-0.986328,NAN,NAN,NAN,NAN,NAN,NAN,0.7995,-0.543,0.801
213202,14.87,991.090027,-0.080078,0.064453,-0.982422,NAN,NAN,NAN,NAN,NAN,NAN,0.8055,-0.549,0.801
223202,14.88,991.130005,-0.078125,0.058594,-0.998047,NAN,NAN,NAN,NAN,NAN,NAN,0.8055,-0.54,0.807
233202,14.87,990.900024,-0.074219,0.041016,-0.986328,NAN,NAN,NAN,NAN,NAN,NAN,0.798,-0.546,0.804
243202,14.87,990.900024,-0.082031,0.056641,-0.998047,NAN,NAN,NAN,NAN,NAN,NAN,0.807,-0.54,0.807
253202,14.85,990.859985,-0.087891,0.064453,-1.001953,NAN,NAN,NAN,NAN,NAN,NAN,0.801,-0.5505,0.7995
263202,14.83,990.830017,-0.087891,0.050781,-0.982422,NAN,NAN,NAN,NAN,NAN,NAN,0.798,-0.5385,0.8115
