timestamp,flight_phase,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,acc_n,acc_e,acc_d,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,orient_x,orient_y,orient_z
3136386224,3,0,0,-250.808640,0,0,-0.000000,0,0,-0.557159,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136396224,3,0,0,-250.797714,0,0,-0.258411,0,0,-95.916840,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136406224,3,0,0,-250.816193,0,0,-1.494121,0,0,-193.259064,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136416222,3,0,0,-250.854919,0,0,-3.653030,0,0,-248.822388,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136426221,3,0,0,-250.918213,0,0,-6.225931,0,0,-268.385529,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136436224,3,0,0,-251.000275,0,0,-8.898669,0,0,-268.613983,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136446225,3,0,0,-251.120071,0,0,-11.614416,0,0,-278.714294,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136456220,3,0,0,-251.241623,0,0,-14.433438,0,0,-290.892456,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136466223,3,0,0,-251.414322,0,0,-17.341293,0,0,-298.037323,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136476224,3,0,0,-251.612350,0,0,-20.368109,0,0,-301.741547,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136486224,3,0,0,-251.849091,0,0,-23.427376,0,0,-306.010406,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136496224,3,0,0,-252.106262,0,0,-26.519596,0,0,-309.839508,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136506224,3,0,0,-252.433716,0,0,-29.637754,0,0,-312.706238,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136516224,3,0,0,-252.781799,0,0,-32.777805,0,0,-315.833710,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136526225,3,0,0,-253.169952,0,0,-36.019485,0,0,-318.480408,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136536224,3,0,0,-253.598511,0,0,-39.200615,0,0,-320.764557,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136546225,3,0,0,-254.071198,0,0,-42.397713,0,0,-323.350342,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136556220,3,0,0,-254.580353,0,0,-45.609638,0,0,-325.416718,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136566222,3,0,0,-255.126984,0,0,-48.833061,0,0,-327.359039,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136576224,3,0,0,-255.745483,0,0,-52.147228,0,0,-329.290802,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136586225,3,0,0,-256.397003,0,0,-55.471653,0,0,-331.057648,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136596224,3,0,0,-257.097839,0,0,-58.804398,0,0,-332.611267,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136606224,3,0,0,-257.850647,0,0,-62.144035,0,0,-334.115234,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136616225,3,0,0,-258.657410,0,0,-65.490646,0,0,-335.702026,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136626224,3,0,0,-259.505859,0,0,-68.842888,0,0,-336.952942,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136636224,3,0,0,-260.406372,0,0,-72.197945,0,0,-337.982117,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136646224,3,0,0,-261.349731,0,0,-75.553467,0,0,-338.780640,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136656221,3,0,0,-262.348450,0,0,-78.907791,0,0,-339.470612,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136666222,3,0,0,-263.414185,0,0,-82.259193,0,0,-339.914490,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136676225,3,0,0,-264.573608,0,0,-85.775162,0,0,-340.115326,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136686224,3,0,0,-265.779877,0,0,-89.201241,0,0,-340.239288,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136696224,3,0,0,-267.031250,0,0,-92.619545,0,0,-340.292816,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136706225,3,0,0,-268.376617,0,0,-96.028542,0,0,-340.052643,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136716224,3,0,0,-269.763397,0,0,-99.425499,0,0,-339.617767,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136726224,3,0,0,-271.235046,0,0,-102.809090,0,0,-339.060028,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136736224,3,0,0,-272.756195,0,0,-106.179718,0,0,-338.752197,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136746224,3,0,0,-274.342682,0,0,-109.537453,0,0,-338.170319,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136756224,3,0,0,-276.001617,0,0,-112.880699,0,0,-337.531616,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136766224,3,0,0,-277.770935,0,0,-116.291618,0,0,-336.883972,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136776221,3,0,0,-279.636200,0,0,-119.686356,0,0,-335.958649,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136786224,3,0,0,-281.531891,0,0,-123.061279,0,0,-334.652527,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136796225,3,0,0,-283.525696,0,0,-126.413055,0,0,-332.971558,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136806224,3,0,0,-285.611145,0,0,-129.737274,0,0,-330.772308,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136816224,3,0,0,-287.781281,0,0,-133.027664,0,0,-327.816772,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136826224,3,0,0,-290.026001,0,0,-136.276764,0,0,-324.106537,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136836224,3,0,0,-292.343201,0,0,-139.477707,0,0,-319.734406,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136846225,3,0,0,-294.766907,0,0,-142.707535,0,0,-315.020386,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136856220,3,0,0,-297.232056,0,0,-145.804031,0,0,-310.163971,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136866222,3,0,0,-299.848846,0,0,-148.919449,0,0,-305.009369,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136876224,3,0,0,-302.525177,0,0,-151.966080,0,0,-297.992828,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136886224,3,0,0,-305.297546,0,0,-154.945679,0,0,-293.216553,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136896225,3,0,0,-308.096527,0,0,-157.881622,0,0,-290.873932,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136906224,3,0,0,-311.001312,0,0,-160.806244,0,0,-292.460266,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136916224,3,0,0,-313.896149,0,0,-163.449112,0,0,-234.387421,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136926224,3,0,0,-316.923340,0,0,-165.313065,0,0,-136.241455,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136936224,3,0,0,-319.940613,0,0,-166.332840,0,0,-66.013885,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136946224,3,0,0,-322.954926,0,0,-166.794388,0,0,-24.664230,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136956224,3,0,0,-325.906311,0,0,-166.937576,0,0,-2.238308,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136966220,3,0,0,-328.952148,0,0,-166.891098,0,0,13.844564,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136976224,3,0,0,-331.984802,0,0,-166.747833,0,0,17.672098,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136986225,3,0,0,-334.989441,0,0,-166.578064,0,0,18.058933,0,0,0,0.000000,0.000000,0.000000,0,0,0
3136996224,3,0,0,-337.975494,0,0,-166.398041,0,0,18.799820,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137006224,3,0,0,-340.958954,0,0,-166.223434,0,0,17.806797,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137016224,3,0,0,-343.893616,0,0,-166.050156,0,0,18.689896,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137026221,3,0,0,-346.837860,0,0,-165.871536,0,0,18.978804,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137036225,3,0,0,-349.747925,0,0,-165.691650,0,0,19.007544,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137046224,3,0,0,-352.684082,0,0,-165.512054,0,0,19.069658,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137056225,3,0,0,-355.580750,0,0,-165.332703,0,0,19.017660,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137066220,3,0,0,-358.516571,0,0,-165.149612,0,0,19.000467,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137076224,3,0,0,-361.488464,0,0,-164.967926,0,0,18.902287,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137086224,3,0,0,-364.426575,0,0,-164.786713,0,0,18.976048,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137096224,3,0,0,-367.312805,0,0,-164.605484,0,0,18.947264,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137106224,3,0,0,-370.221985,0,0,-164.425171,0,0,18.937866,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137116233,3,0,0,-373.093781,0,0,-164.245239,0,0,18.934793,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137126225,3,0,0,-376.024353,0,0,-164.066238,0,0,18.946970,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137136224,3,0,0,-378.957275,0,0,-163.888580,0,0,18.779676,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137146224,3,0,0,-381.868835,0,0,-163.712250,0,0,18.764267,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137156224,3,0,0,-384.814850,0,0,-163.531845,0,0,18.785635,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137166220,3,0,0,-387.728699,0,0,-163.346909,0,0,18.712818,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137176225,3,0,0,-390.660156,0,0,-163.167770,0,0,18.742426,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137186224,3,0,0,-393.534943,0,0,-162.989059,0,0,18.659527,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137196224,3,0,0,-396.398071,0,0,-162.811310,0,0,18.645704,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137206224,3,0,0,-399.203857,0,0,-162.634277,0,0,18.542187,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137216225,3,0,0,-402.033295,0,0,-162.458344,0,0,18.574299,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137226224,3,0,0,-404.855347,0,0,-162.283157,0,0,18.492527,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137236225,3,0,0,-407.681824,0,0,-162.108841,0,0,18.518419,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137246224,3,0,0,-410.427734,0,0,-161.935028,0,0,18.382086,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137256224,3,0,0,-413.241882,0,0,-161.757950,0,0,18.429636,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137266220,3,0,0,-416.048981,0,0,-161.581421,0,0,18.365751,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137276225,3,0,0,-418.782288,0,0,-161.404694,0,0,18.477165,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137286224,3,0,0,-421.536407,0,0,-161.228043,0,0,18.487051,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137296224,3,0,0,-424.224304,0,0,-161.052094,0,0,18.345028,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137306224,3,0,0,-426.924927,0,0,-160.877487,0,0,18.351404,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137316224,3,0,0,-429.687653,0,0,-160.699234,0,0,18.273932,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137326224,3,0,0,-432.383728,0,0,-160.526382,0,0,18.235767,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137336224,3,0,0,-435.054901,0,0,-160.353836,0,0,18.289154,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137346224,3,0,0,-437.732941,0,0,-160.181839,0,0,18.240845,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137356224,3,0,0,-440.373596,0,0,-160.005768,0,0,18.205036,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137366220,3,0,0,-442.984222,0,0,-159.830704,0,0,18.100775,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137376224,3,0,0,-445.572388,0,0,-159.656464,0,0,18.119711,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137386224,3,0,0,-448.202667,0,0,-159.482727,0,0,18.172127,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137396222,3,0,0,-450.843323,0,0,-159.309677,0,0,18.103409,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137406225,3,0,0,-453.379639,0,0,-159.136765,0,0,18.094147,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137416224,3,0,0,-455.900269,0,0,-158.964462,0,0,18.064741,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137426224,3,0,0,-458.454315,0,0,-158.792953,0,0,18.094643,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137436224,3,0,0,-461.013092,0,0,-158.621704,0,0,18.130795,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137446224,3,0,0,-463.489899,0,0,-158.450043,0,0,18.155832,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137456220,3,0,0,-466.013062,0,0,-158.275223,0,0,17.992193,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137466222,3,0,0,-468.526337,0,0,-158.101898,0,0,17.952080,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137476224,3,0,0,-471.064667,0,0,-157.929535,0,0,17.952227,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137486224,3,0,0,-473.576141,0,0,-157.752762,0,0,17.912430,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137496225,3,0,0,-476.062195,0,0,-157.581390,0,0,17.873220,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137506224,3,0,0,-478.517181,0,0,-157.410370,0,0,17.900013,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137516225,3,0,0,-480.980133,0,0,-157.239838,0,0,17.895594,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137526224,3,0,0,-483.363159,0,0,-157.069275,0,0,17.880968,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137536224,3,0,0,-485.812408,0,0,-156.899902,0,0,17.876169,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137546224,3,0,0,-488.214417,0,0,-156.731491,0,0,17.710075,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137556221,3,0,0,-490.589600,0,0,-156.558914,0,0,17.846888,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137566222,3,0,0,-492.973358,0,0,-156.386566,0,0,17.779087,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137576222,3,0,0,-495.399719,0,0,-156.215683,0,0,17.730562,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137586224,3,0,0,-497.741638,0,0,-156.045197,0,0,17.661903,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137596224,3,0,0,-500.043732,0,0,-155.875183,0,0,17.679075,0,0,0,0.000000,0.000000,0.000000,0,0,0
3137606222,3,0,0,-502.406464,0,0,-155.706604,0,0,17.579165,0,0,0,0.000000,0.000000,0.000000,0,0,0
